Track,Category,Start_km,End_km,Dist_km,Avg_%
Rosarno ➜ Cànolo,6‑10%,16.33,17.7,1.37,7.2
Rosarno ➜ Cànolo,6‑10%,18.3,18.4,0.1,6.8
Rosarno ➜ Cànolo,6‑10%,18.86,19.08,0.22,7.0
Rosarno ➜ Cànolo,6‑10%,19.98,20.5,0.51,8.4
Rosarno ➜ Cànolo,6‑10%,20.9,21.68,0.78,8.5
Rosarno ➜ Cànolo,6‑10%,21.91,21.98,0.07,6.4
Rosarno ➜ Cànolo,>10%,22.47,22.9,0.43,11.6
Rosarno ➜ Cànolo,6‑10%,23.51,23.72,0.21,6.6
Rosarno ➜ Cànolo,6‑10%,24.12,24.93,0.81,9.3
Rosarno ➜ Cànolo,6‑10%,25.31,25.5,0.19,9.7
Rosarno ➜ Cànolo,6‑10%,28.34,28.44,0.1,6.6
Rosarno ➜ Cànolo,6‑10%,28.87,29.07,0.2,7.6
Cànolo ➜ Gambarie,6‑10%,8.08,8.31,0.23,9.3
Cànolo ➜ Gambarie,6‑10%,8.68,8.9,0.22,8.0
Cànolo ➜ Gambarie,6‑10%,13.91,14.09,0.17,6.4
Cànolo ➜ Gambarie,6‑10%,17.88,18.15,0.26,6.6
Cànolo ➜ Gambarie,6‑10%,21.26,21.66,0.39,7.5
Cànolo ➜ Gambarie,6‑10%,23.91,24.29,0.38,7.7
Cànolo ➜ Gambarie,6‑10%,28.11,28.49,0.38,6.5
Cànolo ➜ Gambarie,6‑10%,35.69,36.07,0.39,9.1
Cànolo ➜ Gambarie,6‑10%,45.1,45.27,0.17,7.7
Cànolo ➜ Gambarie,6‑10%,45.5,45.7,0.2,8.5
Cànolo ➜ Gambarie,6‑10%,46.34,46.51,0.17,6.0
Cànolo ➜ Gambarie,6‑10%,52.29,52.72,0.43,9.0
Cànolo ➜ Gambarie,6‑10%,53.06,53.31,0.25,7.4
Cànolo ➜ Gambarie,6‑10%,54.9,55.09,0.19,6.5
Gambarie ➜ Reggio,6‑10%,20.1,20.3,0.19,6.2
